fuelType,rating,renterTripsTaken,reviewCount,location.city,rate.daily,vehicle.make,vehicle.model,vehicle.type
ELECTRIC,5,22,20,Sunshine Coast,389.3,Tesla,Model 3,car
ELECTRIC,4.81,28,26,Sunshine Coast,170,Tesla,Model X,suv
ELECTRIC,4.91,117,91,Sunshine Coast,210.8,Tesla,Model X,suv
ELECTRIC,4.95,94,83,Sunshine Coast,210.8,Tesla,Model X,suv
ELECTRIC,4.96,87,72,Sunshine Coast,210.8,Tesla,Model X,suv
ELECTRIC,4.86,35,22,Sunshine Coast,227.8,Tesla,Model X,suv
ELECTRIC,4.94,19,16,Sunshine Coast,253.3,Tesla,Model X,suv
ELECTRIC,5,17,16,Sunshine Coast,272,Tesla,Model X,suv
ELECTRIC,5,18,17,Sunshine Coast,423.3,Tesla,Model X,suv
HYBRID,5,35,32,Sunshine Coast,229.5,BMW,i8,car
HYBRID,4.89,54,47,Sunshine Coast,74.8,Lexus,CT 200h,car
PETROL,4.93,159,135,Sunshine Coast,85,BMW,3 Series,car
PETROL,5,3,3,Sunshine Coast,100.3,BMW,4 Series,car
PETROL,5,13,10,Sunshine Coast,102,BMW,4 Series,car
PETROL,5,16,14,Sunshine Coast,110.5,BMW,4 Series,car
PETROL,4.86,10,7,Sunshine Coast,139.4,BMW,4 Series,car
PETROL,5,9,9,Sunshine Coast,170,BMW,4 Series,car
PETROL,4.6,13,10,Sunshine Coast,105.4,BMW,5 Series,car
PETROL,5,9,7,Sunshine Coast,117.3,BMW,7 Series,car
PETROL,4.86,17,14,Sunshine Coast,76.5,BMW,X1,suv
PETROL,4.97,128,91,Sunshine Coast,132.6,BMW,X3,suv
PETROL,4.83,99,80,Sunshine Coast,83.3,BMW,X5,suv
PETROL,5,10,7,Sunshine Coast,110.5,BMW,X5,suv
PETROL,5,4,3,Sunshine Coast,122.4,BMW,X6,suv
PETROL,5,6,6,Sunshine Coast,144.5,Land Rover,Range Rover,suv
PETROL,4.97,45,35,Sunshine Coast,253.3,Land Rover,Range Rover,suv
PETROL,4.84,107,88,Sunshine Coast,119,Lexus,GS 350,car
PETROL,4.81,108,91,Sunshine Coast,119,Lexus,GX 460,suv
PETROL,4.8,14,10,Sunshine Coast,66.3,Lexus,IS 250,car
PETROL,4.8,159,133,Sunshine Coast,119,Lexus,IS 250,car
PETROL,4.71,106,92,Sunshine Coast,68,Lexus,LX 570,suv
PETROL,5,6,6,Sunshine Coast,76.5,Lexus,RC 350,car
PETROL,5,3,1,Sunshine Coast,76.5,Lexus,RX 350,suv
PETROL,5,5,2,Sunshine Coast,331.5,Mercedes-Benz,AMG GT,car
PETROL,5,7,5,Sunshine Coast,71.4,Mercedes-Benz,C-Class,car
PETROL,4.93,17,15,Sunshine Coast,76.5,Mercedes-Benz,C-Class,car
PETROL,4.58,19,12,Sunshine Coast,85,Mercedes-Benz,C-Class,car
PETROL,5,13,10,Sunshine Coast,85,Mercedes-Benz,C-Class,car
PETROL,5,1,1,Sunshine Coast,85,Mercedes-Benz,C-Class,car
PETROL,5,148,138,Sunshine Coast,125.8,Mercedes-Benz,C-Class,car
